央视频道,#genre#
湖北卫视,http://182.104.129.23/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-hubeistv/index.m3u8$江西移动
四川卫视,http://182.104.129.23/PLTV/88888888/224/3221226693/51813384.smil/index.m3u8?fmt=ts2hls$江西电信
贵州卫视,http://182.104.129.23/PLTV/88888888/224/3221226833/59814738.smil/index.m3u8?fmt=ts2hls$江西电信
广西卫视,http://182.104.129.23/PLTV/88888888/224/3221226954/71778425.smil/index.m3u8?fmt=ts2hls$江西电信
东南卫视,http://182.104.129.23/PLTV/88888888/224/3221226677/51176347.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/dongnanstv/index.m3u8$江西移动
重庆卫视,http://182.104.129.23/PLTV/88888888/224/3221226638/51813388.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-chongqingstv/index.m3u8$江西移动
云南卫视,http://182.104.129.23/PLTV/88888888/224/3221226937/72640386.smil/index.m3u8?fmt=ts2hls
海南卫视,http://182.104.129.23/PLTV/88888888/224/3221226933/70442779.smil/index.m3u8?fmt=ts2hls
宁夏卫视,http://182.104.129.23/PLTV/88888888/224/3221225747/iptv101619.smil/index.m3u8?fmt=ts2hls
甘肃卫视,http://10.231.253.152/PLTV/88888888/224/3221227039/87447727.smil/index.m3u8?fmt=ts2hls
陕西卫视,http://182.104.129.23/PLTV/88888888/224/3221225755/iptv101726.smil/index.m3u8?fmt=ts2hls
山西卫视,http://182.104.129.23/PLTV/88888888/224/3221225551/iptv7966.smil/index.m3u8?fmt=ts2hls
吉林卫视,http://182.104.129.23/PLTV/88888888/224/3221226831/59814731.smil/index.m3u8?fmt=ts2hls$江西电信
辽宁卫视,http://182.104.129.23/PLTV/88888888/224/3221226649/46098370.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-liaoningstv/index.m3u8$江西移动
黑龙江卫视,http://182.104.129.23/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-heilongjiangstv/index.m3u8$江西移动
内蒙古卫视,http://182.104.129.23/PLTV/88888888/224/3221225591/iptv7986.smil/index.m3u8?fmt=ts2hls
青海卫视,http://182.104.129.23/PLTV/88888888/224/3221225589/iptv7985.smil/index.m3u8?fmt=ts2hls
新疆卫视,http://182.104.129.23/PLTV/88888888/224/3221225550/iptv61197.smil/index.m3u8?fmt=ts2hls
西藏卫视,http://182.104.129.23/PLTV/88888888/224/3221225570/iptv101725.smil/index.m3u8?fmt=ts2hls
兵团卫视,http://182.104.129.23/PLTV/88888888/224/3221225753/iptv101723.smil/index.m3u8?fmt=ts2hls

本地频道,#genre#
江西卫视,http://182.104.129.23/PLTV/88888888/224/3221226656/46275837.smil/index.m3u8?fmt=ts2hls$江西电信
江西都市,http://182.104.129.23/PLTV/88888888/224/3221227069/94448631.smil/index.m3u8?fmt=ts2hls$江西电信#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000002&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no$江西广电#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv2&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网
江西经济,http://10.231.253.152/PLTV/88888888/224/3221226946/70055407.smil/index.m3u8?fmt=ts2hls$江西电信#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000551&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no$江西广电#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv3&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网
江西影视,http://182.104.129.23/PLTV/88888888/224/3221227071/98779894.smil/index.m3u8?fmt=ts2hls$江西电信#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000004&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no$江西广电#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv4&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网
江西农业,http://182.104.129.23/PLTV/88888888/224/3221226708/53213097.smil/index.m3u8?fmt=ts2hls$江西电信#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000005&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no$江西广电#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv5&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网
江西少儿,http://182.104.129.23/PLTV/88888888/224/3221226938/68733921.smil/index.m3u8?fmt=ts2hls$江西电信#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000549&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no$江西广电#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv6&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网
江西新闻,http://182.104.129.23/PLTV/88888888/224/3221226650/53190437.smil/index.m3u8?fmt=ts2hls$江西电信#http://tv.91kds.cc/dl1/jxtv.m3u8?id=jxtv7&apikey=Yzch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$官网#http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=G1FD92896V21307D1TE05ED6J884702BBM7DC413C1I64649973K98BDAC&programid=4200000217&playtype=live&protocol=http&playtoken=&auth=no
江西移动,rtsp://182.104.129.23/PLTV/88888888/224/3221227070/96801473.smil
陶瓷高清,rtsp://182.104.129.23/PLTV/88888888/224/3221227072/105246432.smil
南昌一套,http://tv.91kds.cc/dl1/jxnctv1.m3u8?id=jxnctv1&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$91kds
南昌二套,http://tv.91kds.cc/dl1/jxnctv1.m3u8?id=jxnctv2&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$91kds
南昌三套,http://tv.91kds.cc/dl1/jxnctv1.m3u8?id=jxnctv3&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$91kds
南昌四套,http://tv.91kds.cc/dl1/jxnctv1.m3u8?id=jxnctv4&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==$91kds
宜春综合,http://live2.ycstv.com/hLS/YCTV1-HD.m3u8$官网
宜春公共,http://live2.ycstv.com/hLS/YCTV-2HD.m3u8$官网

数字频道,#genre#
生活时尚,http://182.104.129.23/PLTV/88888888/224/3221225603/iptv7992.smil/index.m3u8?fmt=ts2hls$江西电信
全纪实,rtsp://182.104.129.23/PLTV/88888888/224/3221227041/87703526.smil
求索纪录,http://10.231.253.152/PLTV/88888888/224/3221227035/86502224.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:4402:20:1:1216:401:37]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226114/index.m3u8
中国天气,http://182.104.129.23/PLTV/88888888/224/3221227056/89471929.smil/index.m3u8?fmt=ts2hls#http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/zgqx/1300000/mnf.m3u8$sitv
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/fhchinese/index.m3u8$江西移动
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3#http://[2409:8087:3800:20:1000::405]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/fhzixun/index.m3u8$江西移动
凤凰香港,http://[2409:8087:3800:2020:1000::418]:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221226251/1.m3u8
都市剧场,http://182.104.129.23/PLTV/88888888/224/3221225738/10000100000000060000000000901499_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://dsjchd@4000000$sitv
欢笑剧场,http://182.104.129.23/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hxjchd@4000000$sitv
金鹰纪实,http://182.104.129.23/PLTV/88888888/224/3221226823/59781863.smil/index.m3u8?fmt=ts2hls
纪实人文,http://182.104.129.23/PLTV/88888888/224/3221225951/10000100000000060000000000905987_0.smil/index.m3u8?fmt=ts2hls
茶频道,http://182.104.129.23/PLTV/88888888/224/3221226832/59781969.smil/index.m3u8?fmt=ts2hls
快乐垂钓,http://182.104.129.23/PLTV/88888888/224/3221226834/59781974.smil/index.m3u8?fmt=ts2hls

体育赛事,#genre#
CCTV5,rtsp://182.104.129.23:554/PLTV/88888888/224/3221226907/65396401.smil?fmt=ts2hls$江西电信#rtsp://118.212.169.134/PLTV/88888888/224/3221227264/10000100000000060000000000746032_0.smil$江西联通#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-8000k-1080P-cctv5/index.m3u8$江西移动
CCTV5+,rtsp://118.212.169.134/PLTV/88888888/224/3221227270/10000100000000060000000001635911_0.smil$江西联通#rtsp://182.104.129.23/PLTV/88888888/224/3221226976/85722488.smil?fmt=ts2hls$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/hdcctv05plus/index.m3u8$江西移动
CCTV16,rtsp://118.212.169.134/PLTV/88888888/224/3221227265/10000100000000060000000001629537_0.smil$江西联通#rtsp://182.104.129.23/PLTV/88888888/224/3221227051/92603106.smil$江西电信#http://[2409:8087:3800:20:1000::819]:8080/hwrr.jx.chinamobile.com/ysten-businessmobile/live/HD-4000k-1080P-cctv16/index.m3u8$江西移动
五星体育,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281&yang-1989#http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/ssty/4000000/mnf.m3u8
北京体育,http://[2409:8087:3800:2020:1000::816]:8080/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225675/1.m3u8$江西移动#migu://641874369$咪咕
新视觉,https://cntv.sbs/ipv6?auth=2307280808&id=ycxsjH265$贵州ipv6#http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/xsjhd/4000000/mnf.m3u8$sitv
咪咕24小时体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8#migu://654102378
风云足球,http://10.231.253.152/PLTV/88888888/224/3221227000/86128919.smil/index.m3u8?fmt=ts2hls
劲爆体育,http://182.104.129.23/PLTV/88888888/224/3221225969/10000100000000060000000000913520_2.smil/index.m3u8?fmt=ts2hls$江西电信#http://[2409:8087:5e08:24::12]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
魅力足球,http://[2409:8087:4400:20:1:a0f:12:2b]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8#http://aliyun-upcloud-live.bestvcdn.com.cn/live/program/live/mlyyhd/4000000/mnf.m3u8
广东体育,http://tv.91kds.cc/dl1/jdtv.m3u8?id=gdty&apikey=YTch4MDkyM0aY2MDY5M0RDNzY2MEI4N0FFRjNDNzcbyNThFMDE2RTdDRTAxNkU3Qw==
直播室101,http://182.104.129.23/PLTV/88888888/224/3221226231/10000100000000060000000001398612_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba1@4000000$sitv
直播室102,http://182.104.129.23/PLTV/88888888/224/3221226208/10000100000000060000000001398613_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba2@4000000$sitv
直播室103,http://182.104.129.23/PLTV/88888888/224/3221226234/10000100000000060000000001398614_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba3@4000000$sitv
直播室104,http://182.104.129.23/PLTV/88888888/224/3221226228/10000100000000060000000001398576_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba4@4000000$sitv
直播室105,http://182.104.129.23/PLTV/88888888/224/3221226211/10000100000000060000000001398615_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba5@4000000$sitv
直播室106,http://182.104.129.23/PLTV/88888888/224/3221226237/10000100000000060000000001398616_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba6@4000000$sitv
直播室107,http://182.104.129.23/PLTV/88888888/224/3221226214/10000100000000060000000001398617_0.smil/index.m3u8?fmt=ts2hls$江西电信#sitv://hdnba7@4000000$sitv
直播室108,http://182.104.129.23/PLTV/88888888/224/3221226255/10000100000000060000000001408357_0.smil/index.m3u8?fmt=ts2hls$江西电信
直播室109,http://182.104.129.23/PLTV/88888888/224/3221226226/10000100000000060000000001408356_0.smil/index.m3u8?fmt=ts2hls
直播室110,http://182.104.129.23/PLTV/88888888/224/3221226255/10000100000000060000000001408357_0.smil/index.m3u8?fmt=ts2hls
直播室111,http://182.104.129.23/PLTV/88888888/224/3221226229/10000100000000060000000001408358_0.smil/index.m3u8?fmt=ts2hls
